continent,location,cases_per_million,deaths_per_million,population_density,gdp_per_capita,life_expectancy,mobility
Africa,Niger,46.847,2.85,16.955,926,62.42,-6
Africa,Mozambique,55.926,0.352,37.728,1136.103,60.85,-30
Africa,Togo,108.229,2.174,143.366,1429.813,61.04,-4
Africa,Guinea-Bissau,992.887,13.211,66.191,1548.675,58.32,0
NorthAmerica,Haiti,647.049,13.944,398.448,1653.173,64,-113
Africa,Burkina Faso,53.437,2.535,70.151,1703.102,61.58,34
Asia,Afghanistan,936.875,32.65,54.422,1803.987,64.83,4
Africa,Rwanda,149.473,0.386,494.869,1854.211,69.02,-29
Africa,Mali,124.489,6.123,15.196,2014.306,59.31,-45
Africa,Benin,146.001,2.887,99.11,2064.236,61.77,1
Asia,Nepal,661.466,1.682,204.43,2442.804,70.78,-81
Africa,Senegal,594.902,11.945,82.328,2470.58,67.94,-45
Africa,Tanzania,8.521,0.352,64.699,2683.304,65.46,7
Asia,Tajikistan,767.485,6.291,64.281,2896.913,71.1,-93
Africa,Kenya,355.673,5.784,87.324,2993.028,66.7,-94
Africa,Cameroon,650.007,14.579,50.885,3364.926,59.29,-13
Asia,Kyrgyzstan,5398.83,209.068,32.333,3393.474,71.45,-121
Asia,Bangladesh,1409.891,18.429,1265.036,3523.984,72.59,-52
Oceania,Papua New Guinea,7.041,0.224,18.22,3823.194,64.5,36
Africa,Ghana,1130.952,5.632,126.719,4227.63,64.07,-52
NorthAmerica,Honduras,4133.833,127.113,82.805,4541.795,75.27,-308
Asia,Pakistan,1255.824,26.818,255.573,5034.708,67.27,-150
Europe,Moldova,5936.346,188.152,123.655,5189.972,71.9,-15
NorthAmerica,Nicaragua,554.301,17.511,51.667,5321.444,74.48,-96
Africa,Nigeria,204.754,4.235,209.588,5338.454,54.69,-48
Asia,Myanmar,6.488,0.11,81.721,5591.597,67.13,-69
Africa,Angola,30.426,1.43,23.89,5819.495,61.15,-35
Africa,Cape Verde,4268.078,41.368,135.58,6222.554,72.98,-195
Asia,India,1147.672,25.339,450.419,6426.674,69.66,-199
SouthAmerica,Bolivia,6299.479,240.555,10.202,6885.829,71.51,-343
NorthAmerica,El Salvador,2442.262,66.295,307.811,7292.458,73.32,-201
NorthAmerica,Guatemala,2657.186,102.425,157.834,7423.808,74.3,-215
Africa,Morocco,601.806,9.049,80.08,7485.013,76.68,-176
Asia,Philippines,780.116,17.905,351.873,7599.188,71.23,-172
NorthAmerica,Belize,120.718,5.03,16.426,7824.362,74.62,-67
Europe,Ukraine,1545.648,37.728,77.39,7894.393,72.06,-76
NorthAmerica,Jamaica,289.076,3.377,266.879,8193.571,74.47,-38
Asia,Jordan,116.337,1.078,109.285,8337.49,74.53,-31
SouthAmerica,Paraguay,682.226,6.449,17.144,8827.01,74.25,-129
Africa,Namibia,781.608,3.542,3.078,9541.808,63.71,-62
Asia,Georgia,289.534,4.262,65.032,9745.079,73.77,-67
Africa,Egypt,912.264,46.201,97.999,10550.206,71.99,-72
SouthAmerica,Ecuador,4715.338,318.709,66.939,10581.936,77.01,-136
Asia,Indonesia,381.802,18.189,145.725,11188.744,71.72,-75
Asia,Sri Lanka,131.274,0.514,341.955,11669.077,76.98,-34
Europe,Bosnia and Herzegovina,3281.502,90.526,68.496,11713.895,77.4,3
SouthAmerica,Peru,12152.277,570.669,25.129,12236.706,76.74,-164
SouthAmerica,Colombia,5425.302,185.799,44.223,13254.949,77.29,-232
Asia,Lebanon,616.077,8.058,594.561,13367.565,78.93,-81
Europe,Serbia,3658.116,82.003,80.291,14048.881,76,-137
SouthAmerica,Brazil,12007.302,424.041,25.04,14103.452,75.88,-90
NorthAmerica,Dominican Republic,6100.902,103.522,222.873,14600.861,74.08,-157
NorthAmerica,Costa Rica,3297.924,26.109,96.079,15524.995,80.28,-238
Asia,Iraq,2941.14,114.438,88.125,15663.986,70.6,-97
Africa,Botswana,341.891,0.85,4.044,15807.374,69.59,110
Asia,Thailand,47.335,0.831,135.132,16277.671,77.15,-39
Africa,Gabon,3303.189,22.015,7.859,16562.413,66.47,-35
NorthAmerica,Barbados,382.78,24.359,664.463,16978.068,79.19,-176
Europe,Belarus,7145.275,57.994,46.858,17167.967,74.79,43
NorthAmerica,Mexico,3167.923,351.819,66.444,17336.469,75.05,-131
Africa,Libya,439.073,9.751,3.623,17881.509,72.91,22
Europe,Bulgaria,1605.395,52.961,65.18,18563.307,75.05,36
SouthAmerica,Argentina,3835.358,70.803,16.177,18933.907,76.67,-195
Africa,Mauritius,270.49,7.863,622.962,20292.745,74.99,-51
NorthAmerica,Antigua and Barbuda,929.254,30.635,231.845,21490.943,77.02,-113
NorthAmerica,Panama,14663.361,318.441,55.133,22267.037,78.51,-399
Europe,Croatia,1199.191,34.346,73.726,22669.797,78.49,344
SouthAmerica,Chile,18391.46,485.347,24.282,22767.037,80.18,-235
Europe,Romania,2507.319,117.946,85.129,23313.199,76.05,-11
Asia,Kazakhstan,4668.763,42.233,6.681,24055.588,73.6,-79
Europe,Greece,416.001,19.476,83.479,24574.382,82.24,139
Europe,Russia,5680.564,93.693,8.823,24765.954,72.58,-81
Asia,Taiwan,19.608,0.294,671,"25,007.75",80.46,0
Europe,Latvia,648.923,16.435,31.212,25063.846,75.29,136
Asia,Turkey,2714.329,67.098,104.914,25129.341,77.69,18
Europe,Hungary,464.165,61.695,108.043,26777.561,76.88,41
Asia,Malaysia,276.71,3.831,96.254,26808.164,76.16,-52
Europe,Poland,1173.58,44.76,124.027,27216.445,78.73,182
Europe,Portugal,4963.661,169.172,112.371,27936.896,82.05,6
NorthAmerica,Trinidad and Tobago,111.469,5.716,266.886,28763.071,73.51,-128
Europe,Estonia,1539.344,52.015,31.033,29481.252,78.74,127
Europe,Lithuania,750.471,29.387,45.135,29524.265,75.93,216
Europe,Slovakia,411.199,5.129,113.128,30155.152,77.54,99
Europe,Slovenia,1017.349,56.279,102.619,31400.84,81.32,87
Asia,Israel,7920.475,56.727,402.606,33132.32,82.97,-87
NorthAmerica,Puerto Rico,5614.085,73.755,376.232,35044.67,80.1,-122
Europe,Italy,4081.517,581.011,205.859,35220.084,83.51,48
Asia,South Korea,278.315,5.851,527.967,35938.374,83.03,27
NorthAmerica,Aruba,1114.587,28.099,584.8,35973.781,76.29,-109
Oceania,New Zealand,250.921,4.562,18.206,36085.843,82.29,-34
Europe,Malta,1780.137,20.383,1454.037,36513.323,82.53,33
Asia,Oman,15385.709,80.68,14.98,37960.709,77.86,-195
Europe,France,2837.231,463.251,122.578,38605.671,82.66,79
Asia,Japan,256.641,7.93,347.778,39002.223,84.63,-78
Europe,United Kingdom,4440.606,677.032,272.898,39753.244,81.32,-77
Europe,Finland,1338.094,59.379,18.136,40585.721,81.91,122
Europe,Belgium,5801.918,848.691,375.564,42658.576,81.63,-7
Asia,Bahrain,23690.293,84.627,1935.907,43290.705,77.29,-99
NorthAmerica,Canada,3059.073,236.261,4.037,44017.591,82.43,149
Oceania,Australia,611.062,6.902,3.202,44648.71,83.44,-74
Europe,Germany,2469.757,108.947,237.016,45229.245,81.33,113
Europe,Austria,2314.576,79.499,106.749,45436.686,81.54,72
Europe,Denmark,2353.854,106.005,136.52,46682.515,80.9,250
Europe,Sweden,7899.779,567.368,24.718,46949.283,82.8,289
Europe,Netherlands,3129.349,358.742,508.544,48472.545,82.28,60
Asia,Saudi Arabia,7829.926,80.887,15.322,49045.411,75.13,-107
NorthAmerica,United States,13374.461,455.323,35.608,54225.446,78.86,26
Europe,Switzerland,4011.038,196.658,214.243,57410.166,83.78,80
Europe,Norway,1687.805,47.037,14.462,64800.057,82.4,210
Asia,Kuwait,15431.923,103.968,232.128,65530.537,75.49,-151
Asia,United Arab Emirates,6058.501,35.085,112.442,67293.483,77.97,-126
Europe,Ireland,5253.761,357.244,69.874,67335.293,82.3,-18
Asia,Singapore,8808.202,4.615,7915.731,85535.383,83.62,-66
Europe,Luxembourg,10436.502,182.116,231.447,94277.965,82.25,143
Asia,Qatar,38233.497,58.659,227.322,116935.6,80.23,-26
Europe,Liechtenstein,2307.47,26.221,237.012,"165,028.25",82.49,-19
