Year,Brazil,Canada,China,France,Germany,India,Iraq,Japan,RussianFederation,Switzerland,UnitedStates,Zimbabwe
2000,74,82,74,83,81,63,73,85,72,83,79,44
2001,74,82,74,83,81,64,73,85,72,83,79,43
2002,75,82,74,83,81,64,73,85,72,83,80,43
2003,75,82,75,83,81,65,73,85,72,83,80,42
2004,75,83,75,84,82,65,72,86,72,84,80,43
2005,76,83,75,84,82,66,72,85,72,84,80,43
2006,76,83,76,85,82,66,72,86,73,84,80,44
2007,76,83,76,85,82,66,72,86,74,84,80,46
2008,76,83,76,85,82,67,72,86,74,84,81,49
2009,77,83,76,85,83,67,72,86,75,84,81,51
2010,77,83,76,85,83,67,73,86,75,85,81,54
2011,77,83,76,86,83,68,73,86,76,85,81,56
2012,77,83,77,86,83,68,73,86,76,85,81,59
