Year,Brazil,Canada,China,France,Germany,India,Iraq,Japan,RussianFederation,Switzerland,UnitedStates,Zimbabwe
2000,67,77,71,75,75,61,69,78,59,77,74,44
2001,67,77,71,76,76,61,69,78,59,77,74,43
2002,67,77,72,76,75,62,68,78,59,78,74,43
2003,67,77,72,76,76,62,68,78,59,78,75,43
2004,68,78,73,77,76,62,67,79,59,79,75,44
2005,68,78,73,77,76,63,67,79,59,79,75,44
2006,68,78,73,77,76,63,66,79,60,79,75,46
2007,69,78,73,78,77,63,66,79,61,79,75,47
2008,69,78,73,78,77,63,65,79,62,80,76,49
2009,69,79,73,78,77,64,65,80,63,80,76,51
2010,70,79,74,78,78,64,65,80,63,80,76,53
2011,70,79,74,79,78,64,65,79,64,81,76,55
2012,70,79,74,79,79,65,66,80,65,81,76,57
